Row,0K8,0M6,0Q5,0R2,11Z,16R,1C5,1C7,1E2,1O7,1P0,1P4,1P5,1R1,1S8,24V,25P,27J,2C3,2C4,2F2,2J7,2M4,2O4,2R0,2R9,37V,3F5,3F7,3G3,3M3,3O7,3Q3,3Q9,3R0,3R9,44V,46Z,4D8,4F1,4M9,4P6,4Q4,4R3,4R7,51J,51V,55J,56K,5H4,5J3,5K0,5M5,60R,62R,64S,6A9,6C2,6D4,6D6,6D9,6K6,6L1,6L3,6L4,6M7,6O7,73Z,76J,7F0,7I8,7J7,7O3,83Z,86Z,8C9,8I9,8L3,8O9,93O,94H,97Z,98Z,99L,9I8,9L9,9N6,9Q5
0K8,0,0,0,0,0,0,17.7200085897525,0,0,0,0,0,0,0,0,0,0,0,0,17.7200085897525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7200085897525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7200085897525,0,17.7200085897525,0,0,0,0,0,0,0,17.7200085897525,0,0,0
0M6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.440017179505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Q5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.440017179505,0,0
0R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.440017179505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7200085897525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7200085897525,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7200085897525,0,0,0,35.440017179505,0,0,0,0,0,0,0,0,0,0,0,0
16R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7200085897525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7200085897525,0,0,0,0,35.440017179505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7200085897525,0,17.7200085897525,0,17.7200085897525,0,0,17.7200085897525,0,0,0,0,0,0,0,35.440017179505,0,0,0,17.7200085897525,0,0,0,0,0,0,0,0,70.8800343590101,17.7200085897525,0,0,0
1C5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1C7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,33.8991468673526,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,16.9495734336763,0,0,0,16.9495734336763,16.9495734336763,16.9495734336763,0,16.9495734336763,0,0,0,0,0,0,16.9495734336763,0,16.9495734336763,0,0,16.9495734336763,16.9495734336763,0,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763
1O7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1P0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.440017179505,0,0,0,0,0,0,0,0,35.440017179505,0,0,0,0,0,0,0,0,0,0
1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1S8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24V,16.2433412072731,0,16.2433412072731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2433412072731,0,0,16.2433412072731,0,0,0,0,0,16.2433412072731,16.2433412072731,0,0,0,0,0,0,0,0,0,0,16.2433412072731,0,0,0,0,0,0,16.2433412072731,0,0,0,0,0,0,0,0,0,0,0,0,16.2433412072731,0,0,0,0,0,0,0,0,32.4866824145463,0,0,0,16.2433412072731,0,32.4866824145463,0,0,0,0,0,0,0,0,0,0,0,0,0
25P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27J,18.5638185225979,37.1276370451958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5638185225979,0,0,0,0,37.1276370451958,0,0,0,0,0,0,0,0,0,0,18.5638185225979,0,0,18.5638185225979,0,0,0,0,55.6914555677936,0,0,0,0,0,0,0,0,0,0,0,18.5638185225979,18.5638185225979,18.5638185225979,0,0,37.1276370451958,0,0,0,0,0,0,0,0,0,0,0,0,18.5638185225979,18.5638185225979,37.1276370451958,18.5638185225979,0,0,0,0,18.5638185225979,0,0,18.5638185225979,0
2C3,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4920094487278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4920094487278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4920094487278,0,0,0,0,0,0,0,0,19.4920094487278,19.4920094487278,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4920094487278,0,0
2C4,0,0,0,0,16.9495734336763,0,16.9495734336763,16.9495734336763,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,16.9495734336763,16.9495734336763,0,0
2F2,0,0,0,0,0,0,0,17.7200085897525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.1600257692576,0,0,0,0,0,0,0,0
2J7,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8991468673526,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,16.9495734336763,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,33.8991468673526,33.8991468673526,0,0
2M4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2O4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2R9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3F7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,16.9495734336763,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3G3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3M3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3O7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Q9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3R0,0,0,0,0,0,0,0,0,38.9840188974555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3R9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0
46Z,16.9495734336763,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,16.9495734336763,0,0,0,0,0,16.9495734336763,33.8991468673526,0,16.9495734336763,0,0,0,0,0,0,0,0,16.9495734336763,16.9495734336763,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,16.9495734336763,0,16.9495734336763,16.9495734336763,0,0,0,0,0,0,33.8991468673526,0,0,0,33.8991468673526,0,16.9495734336763,0,16.9495734336763,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0
4D8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,0,0,16.9495734336763,0,33.8991468673526,0,16.9495734336763,0,0,0,0,0,0,0,0,0,16.9495734336763,16.9495734336763,0,0,0,16.9495734336763,0,0,0,0,0,0,0,0,16.9495734336763,33.8991468673526,0
4F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7200085897525,0,0,0,0,0,0,0,0,0,17.7200085897525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7200085897525,0,0,0,0,0,0,0,0,17.7200085897525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4M9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4R3,0,0,0,0,0,0,35.440017179505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4R7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
