"","Find","id","year_behav","Group","sdb.ra","vig.ra","sex","age","rank","rank2","rc","outdeg.grm","indeg.grm","eigen.pr","betw.pr","outdeg.agg","indeg.agg","Wdeg.pr","Windeg.agg"
"1244","0G3|2016","0G3",2016,"HH",14.36,256.41,"Female",8.8,84.7826087,85.36585366,0.568671241,1.561,0.813,0.016071357,0.005,0.01,0.01,60.84208799,104.7393468
"1245","0K1|2016","0K1",2016,"HH",27.07,242.11,"Male",6.8,27.27272727,25,0.251690768,NA,NA,4.39e-07,NA,NA,NA,5.714450253,103.6851319
"1246","0M2|2016","0M2",2016,"HH",9.7,213.48,"Female",5.9,58.69565217,4.87804878,0.437306221,NA,NA,0.004531989,NA,NA,NA,25.88309821,57.50262862
"1247","16S|2016","16S",2016,"HH",11.02,218.12,"Female",14.8,56.52173913,39.02439024,0.47313197,3.19,0,0.018246364,0.022,0,0,89.65317851,59.12623225
"1248","1B7|2016","1B7",2016,"HH",15.29,227.39,"Male",10.8,86.36363636,87.5,0.787344426,NA,NA,0.020970524,NA,NA,NA,110.9452555,55.96922519
"1249","1G8|2016","1G8",2016,"HH",11.27,198.03,"Male",7.7,22.72727273,4.166666667,0.231668426,NA,NA,0.000429593,NA,NA,NA,8.57167538,73.69356483
"1250","1Q8|2016","1Q8",2016,"HH",27.73,240.37,"Male",4,NA,29.16666667,0.396791101,NA,NA,0.003307574,NA,NA,NA,9.075891579,14.56733258
"1251","2E9|2016","2E9",2016,"HH",36.19,174.93,"Female",9.9,13.04347826,26.82926829,0.438556189,1.913,2.552,0.004279564,0.016,0,0,46.69727558,99.67122293
"1252","3A6|2016","3A6",2016,"HH",25.56,167.3,"Male",11.8,36.36363636,37.5,0.271517562,NA,NA,0.001864213,NA,NA,NA,10.9777597,190.4126259
"1253","3A9|2016","3A9",2016,"HH",14,177.32,"Female",11.7,39.13043478,70.73170732,0.502488557,0.895,4.203,0.017020422,0.026,0,0.005,90.46147246,102.82823
"1254","3L5|2016","3L5",2016,"HH",16.6,227.39,"Male",5.7,54.54545455,33.33333333,0.397226467,NA,NA,0.00055902,NA,NA,NA,5.714450253,28.36796345
"1255","3L6|2016","3L6",2016,"HH",36.83,220.97,"Male",5.8,59.09090909,66.66666667,0.561568067,NA,NA,0.011204847,NA,NA,NA,58.15293493,144.9066241
"1256","3N4|2016","3N4",2016,"HH",12.51,231.52,"Female",4.8,36.95652174,7.317073171,0.487804878,NA,NA,0.00487247,NA,NA,NA,31.27909612,29.99156708
"1257","3P7|2016","3P7",2016,"HH",41.45,265.28,"Female",4,86.95652174,82.92682927,0.491861396,NA,NA,0.004866441,NA,NA,NA,20.01826768,29.13466517
"1258","49Z|2016","49Z",2016,"HH",22.93,186.5,"Male",11.7,40.90909091,70.83333333,0.624305327,NA,NA,0.002191626,NA,NA,NA,29.9168278,14.56733258
"1259","4C6|2016","4C6",2016,"HH",20.83,197.06,"Male",10.5,50,54.16666667,0.520346542,NA,NA,0.00401143,NA,NA,NA,32.83707995,58.26933033
"1260","4I9|2016","4I9",2016,"HH",27.99,246.35,"Female",6.8,28.26086957,NA,NA,NA,NA,0.002880474,NA,NA,NA,20.16864795,NA
"1261","4J0|2016","4J0",2016,"HH",44.44,253.59,"Male",6.9,72.72727273,83.33333333,0.665152351,NA,NA,0.007907775,NA,NA,NA,47.75347583,29.13466517
"1262","4J6|2016","4J6",2016,"HH",40.43,239.71,"Female",6.9,60.86956522,60.97560976,0.498759102,NA,NA,0.013660892,NA,NA,NA,79.07790718,58.35953053
"1263","4N7|2016","4N7",2016,"HH",19.28,255.02,"Male",4.9,77.27272727,95.83333333,0.6437274,NA,NA,0.002663467,NA,NA,NA,11.59697257,14.56733258
"1264","4N8|2016","4N8",2016,"HH",27.5,215.4,"Male",5,45.45454545,50,0.416714772,NA,NA,0.00555458,NA,NA,NA,28.57225127,42.93529603
"1265","50P|2016","50P",2016,"HH",31.12,191.93,"Male",15.4,63.63636364,62.5,0.520164083,NA,NA,0.001556291,NA,NA,NA,37.14392665,29.13466517
"1266","56R|2016","56R",2016,"HH",22.75,248.67,"Female",14.7,15.2173913,56.09756098,0.466398206,3.396,3.273,0.012181062,0.007,0.005,0,66.76662833,42.93529603
"1267","5B6|2016","5B6",2016,"HH",18.05,194.98,"Female",10.8,0,92.68292683,0.575089635,4.36,5.368,0.049694955,0.017,0.02,0,202.4217948,14.56733258
"1268","5H7|2016","5H7",2016,"HH",28.12,254.53,"Male",7.8,13.63636364,45.83333333,0.458583504,NA,NA,0.001037771,NA,NA,NA,9.096900587,30.848469
"1269","5J6|2016","5J6",2016,"HH",22.1,201.69,"Female",6.8,23.91304348,97.56097561,0.539877415,NA,NA,0.009036398,NA,NA,NA,55.73247603,178.3427114
"1270","5N1|2016","5N1",2016,"HH",19.01,193.31,"Female",4.9,71.73913043,17.07317073,0.443659925,NA,NA,0.005386238,NA,NA,NA,32.963134,89.97470125
"1271","60T|2016","60T",2016,"HH",22.98,219.26,"Male",13.7,18.18181818,20.83333333,0.251645827,NA,NA,0.005017155,NA,NA,NA,25.00071986,74.55046675
"1272","6B4|2016","6B4",2016,"HH",23.81,168.35,"Female",10.8,50,65.85365854,0.502300605,1.916,1.707,0.013974629,0.015,0.005,0.005,87.2504114,160.3308586
"1273","6H6|2016","6H6",2016,"HH",15.84,164.72,"Female",7.7,78.26086957,31.70731707,0.431885958,NA,NA,0.043194181,NA,NA,NA,180.6984802,45.41580158
"1274","7L0|2016","7L0",2016,"HH",28.49,254.75,"Female",5.9,32.60869565,48.7804878,0.459758395,NA,NA,0.003031907,NA,NA,NA,30.08489986,29.13466517
"1275","7L7|2016","7L7",2016,"HH",18.43,247.55,"Female",5.8,54.34782609,36.58536585,0.470461632,NA,NA,0.012409293,NA,NA,NA,60.16979972,44.55889966
"1276","80S|2016","80S",2016,"HH",18.6,225,"Female",13.7,45.65217391,75.6097561,0.511696903,2.023,1.335,0.0163461,0.026,0.005,0,91.59927612,119.1093664
"1277","8K7|2016","8K7",2016,"HH",20.68,240.21,"Female",5.8,91.30434783,24.3902439,0.441112048,NA,NA,0.006220234,NA,NA,NA,22.85780101,76.26427058
"1278","8L6|2016","8L6",2016,"HH",35.23,230.33,"Male",5.8,31.81818182,58.33333333,0.479657293,NA,NA,9.72e-06,NA,NA,NA,8.57167538,29.99156708
"1279","94O|2016","94O",2016,"HH",35.66,227.85,"Male",15.6,100,100,0.809987252,NA,NA,0.040777753,NA,NA,NA,151.4329317,15.4242345
"1280","9C6|2016","9C6",2016,"HH",14.61,174.31,"Male",9.8,9.090909091,41.66666667,0.313934691,NA,NA,0.002682888,NA,NA,NA,21.17708035,43.70199775
"1281","9I7|2016","9I7",2016,"HH",24.95,188.91,"Female",6.7,19.56521739,12.19512195,0.433314349,NA,NA,0.017456654,NA,NA,NA,88.74205099,132.9099973
"1282","9N0|2016","9N0",2016,"HH",22.27,247.8,"Female",4.9,30.43478261,29.26829268,0.454710383,NA,NA,0.00594952,NA,NA,NA,51.59812434,103.6851319
"1283","9P5|2016","9P5",2016,"HH",17.78,243.03,"Female",4,47.82608696,14.6341,0.656854483,NA,NA,0.014285714,NA,NA,NA,0,NA
"1284","9P6|2016","9P6",2016,"HH",30.52,232.54,"Male",3.9,NA,16.66666667,0.231720596,NA,NA,0.003927307,NA,NA,NA,39.32886351,NA
"1285","V80|2016","V80",2016,"HH",19.62,165.36,"Female",25.6,17.39130435,19.5122,0.678008275,3.192,0,0.000105438,0.002,0,0.005,8.57167538,NA
"1286","0B9|2016","0B9",2016,"HH",13.52,209.51,"Female",11.8,80.43478261,68.29268293,0.560703875,2.054,2.218,0.042093297,0.024,0.01,0.014,165.4393058,87.4941957
"1287","43N|2016","43N",2016,"HH",24.39,222.52,"Male",16.8,90.90909091,91.66666667,0.767022158,NA,NA,0.033807992,NA,NA,NA,146.3797123,44.55889966
"1288","48V|2016","48V",2016,"HH",24.91,188.1,"Female",12.7,76.08695652,95.12195122,0.633800025,0.515,0.144,0.030564534,0.016,0.01,0.005,121.8732571,44.55889966
"1289","4J3|2016","4J3",2016,"HH",34.55,259.12,"Female",6.9,65.2173913,87.80487805,0.507799028,NA,NA,0.054138318,NA,NA,NA,238.4489268,72.92686311
"1290","55R|2016","55R",2016,"HH",29.8,184.38,"Female",14.8,21.73913043,90.24390244,0.487804878,0.699,0,0.015935368,0.019,0,0.005,103.7214739,74.74777969
"1291","5I9|2016","5I9",2016,"HH",13.61,180.88,"Female",6.8,2.173913043,64.1026,0.512176866,NA,NA,0.014873043,NA,NA,NA,87.5766039,NA
"1292","65Z|2016","65Z",2016,"HH",40.81,221.54,"Female",11.8,26.08695652,41.46341463,0.487875741,0.483,1.065,0.013165515,0.012,0,0,75.3172947,59.98313416
"1293","6I4|2016","6I4",2016,"HH",26.64,209.65,"Male",6.9,68.18181818,75,0.624051886,NA,NA,0.008080617,NA,NA,NA,51.78720542,74.55046675
"1294","03Z|2016","03Z",2016,"HH",13.33,155.1,"Female",12.6,34.7826087,17.0732,0.528213783,1.939,1.262,0.002177143,0.02,0,0.005,18.15178316,88.35109761
"1295","20S|2016","20S",2016,"HH",14.24,208.83,"Female",14.7,67.39130435,58.53658537,0.539723746,0,2.129,0.045027495,0.03,0.005,0,168.4789776,87.5843959
"1296","22H|2016","22H",2016,"HH",18.72,151.3,"Female",19.7,69.56521739,80.48780488,0.483388167,0.208,0,0.02139702,0.048,0.005,0,126.4583073,88.26089741
"1297","2C0|2016","2C0",2016,"HH",29.47,290.53,"Female",10.6,82.60869565,78.04878049,0.51278622,2.906,0.848,0.029647279,0.039,0.015,0.015,128.5342184,75.40736866
"1298","2C7|2016","2C7",2016,"HH",37.5,210.78,"Female",10.9,4.347826087,19.51219512,0.486488443,1.461,2.492,0.00659915,0.009,0,0.01,46.80143603,163.865579
"1299","2E8|2016","2E8",2016,"HH",49.51,247.56,"Female",9.8,63.04347826,63.41463415,0.526976998,2.731,0.54,0.019696202,0.025,0.025,0.01,101.3861568,57.50262862
"1300","36O|2016","36O",2016,"HH",28.47,234.31,"Female",15.7,8.695652174,14.63414634,0.375232715,0.429,2.01,0.008744992,0.01,0,0.005,53.67801616,43.70199775
"1301","3P2|2016","3P2",2016,"HH",23.43,173.9,"Male",3.8,NA,8.333333333,0.273042513,NA,NA,0.000566651,NA,NA,NA,6.23967546,28.36796345
"1302","4N5|2016","4N5",2016,"HH",6.92,173.08,"Female",4.9,41.30434783,9.756097561,0.428178886,NA,NA,0.004675118,NA,NA,NA,28.12111046,0
"1303","62S|2016","62S",2016,"HH",19.26,201.19,"Female",13.6,89.13043478,2.43902439,0.440019403,3.661,1.895,0.035292592,0.036,0.005,0.005,163.7232016,59.12623225
"1304","77S|2016","77S",2016,"HH",45.46,170.48,"Female",13.6,93.47826087,51.2195122,0.505645059,2.61,4.067,0.04960236,0.032,0.015,0,226.2460102,15.4242345
"1305","7E0|2016","7E0",2016,"HH",31.08,179.43,"Female",8.9,6.52173913,21.95121951,0.422038309,1.618,0.252,0.01977867,0.065,0,0,123.0077435,59.98313416
"1306","7E3|2016","7E3",2016,"HH",20.72,207.22,"Female",8.8,73.91304348,73.17073171,0.5105453,1.878,0.436,0.03821106,0.054,0.005,0.005,157.147382,87.4941957
"1307","8E2|2016","8E2",2016,"HH",27.27,237.27,"Female",8.8,52.17391304,34.14634146,0.483833378,0,0.778,0.022888352,0.011,0,0.014,105.7173297,133.676699
"1308","94S|2016","94S",2016,"HH",15.4,191.63,"Female",13.7,43.47826087,46.34146341,0.478299095,0.618,0.654,0.0093499,0.031,0.005,0,65.88424998,15.4242345
"1309","9O0|2016","9O0",2016,"HH",35.32,265.49,"Male",3.8,NA,12.5,0.251938827,NA,NA,0.004677327,NA,NA,NA,14.28612563,72.0699612
"1310","4L8|2016","4L8",2016,"HH",10.39,171.51,"Female",5.9,10.86956522,53.65853659,0.449046019,NA,NA,0.003063091,NA,NA,NA,25.19997372,15.4242345
"1311","5P6|2016","5P6",2016,"HH",48.48,218.18,"Female",3.8,95.65217391,43.90243902,0.486479543,NA,NA,0.024548177,NA,NA,NA,74.79206949,14.56733258
"1312","41N|2016","41N",2016,"HH",11.74,201.06,"Male",16.5,81.81818182,79.16666667,0.750198161,NA,NA,0.023197522,NA,NA,NA,116.7490494,42.93529603
"1475","0M6|2017","0M6",2017,"KK",3.27,163.34,"Female",5.854794521,NA,77.5862068965517,0.505369655867284,NA,NA,0.004269108,NA,NA,NA,48.08352758,55.69145557
"1476","0R2|2017","0R2",2017,"KK",24.74,309.28,"Male",3.819178082,NA,46.6666666666667,0.483333333333333,NA,NA,0.001205077,NA,NA,NA,41.82046506,0
"1477","1C5|2017","1C5",2017,"KK",29.77,182.33,"Female",11.65479452,NA,3.44827586206897,0.287815009348536,1.122,2.968,0.003702039,0.003,0,0.009,90.4809307,309.1371064
"1478","1C7|2017","1C7",2017,"KK",29.18,233.47,"Female",11.56712329,NA,18.9655172413793,0.33827293215421,1.259,2.79,0.008507889,0.017,0.009,0,144.8813742,269.4556409
"1479","1L1|2017","1L1",2017,"KK",9.63,244.62,"Female",6.723287671,NA,37.20930233,0.569568894,3.339,0.29,0.003968651,0.015,0,0,76.49766029,NA
"1480","1M8|2017","1M8",2017,"KK",16.21,189.84,"Male",5.701369863,NA,NA,NA,NA,NA,0.00952381,NA,NA,NA,0,NA
"1481","1O9|2017","1O9",2017,"KK",15.45,185.41,"Female",4.695890411,NA,NA,NA,NA,NA,0.003452755,NA,NA,NA,54.94581232,NA
"1482","1P5|2017","1P5",2017,"KK",24.7,123.5,"Male",4.819178082,NA,3.33333333333333,0.432707890478871,NA,NA,7.26e-05,NA,NA,NA,4.235538819,51.61915546
"1483","24V|2017","24V",2017,"KK",13.16,204.02,"Female",13.5260274,NA,93.1034482758621,0.738814264540696,9.184,1.453,0.046859367,0.014,0.017,0.008,484.6888888,90.36103759
"1484","2O4|2017","2O4",2017,"KK",14.57,162.41,"Male",4.97260274,NA,63.3333333333333,0.483333333333333,NA,NA,0.00952381,NA,NA,NA,0,0
"1485","3F5|2017","3F5",2017,"KK",13.98,225.44,"Female",9.526027397,NA,27.5862068965517,0.358252204625335,3.785,2.286,0.015215175,0.004,0,0.018,177.4797457,205.0733292
"1486","3G3|2017","3G3",2017,"KK",13.87,157.56,"Female",8.761643836,NA,39.6551724137931,0.395014590398496,0,1.969,0.008598333,0.007,0,0,157.1490132,153.4450019
"1487","3M3|2017","3M3",2017,"KK",25.14,261.45,"Male",5.723287671,NA,6.66666666666667,0.483333333333333,NA,NA,0.00166669,NA,NA,NA,27.10744844,0
"1488","3R0|2017","3R0",2017,"KK",3.65,131.57,"Female",3.830136986,NA,86.2068965517241,0.575316592931252,NA,NA,0.011599089,NA,NA,NA,61.7402129,18.56381852
"1489","44V|2017","44V",2017,"KK",8.93,134,"Female",13.34520548,NA,50,0.44380992602942,3.701,2.052,0.004303926,0.034,0,0.009,67.28631336,164.4278544
"1490","4M0|2017","4M0",2017,"KK",21.52,224.42,"Male",5.819178082,NA,NA,NA,NA,NA,0.00952381,NA,NA,NA,0,NA
"1491","4R4|2017","4R4",2017,"KK",13.52,154.17,"Female",3.78630137,NA,NA,NA,NA,NA,0.00084608,NA,NA,NA,22.87190962,NA
"1492","5J3|2017","5J3",2017,"KK",5.14,195.32,"Male",7.668493151,NA,10,0.312334665660669,0,0,0.00040514,0.002,0,0.025,8.955693063,222.7291349
"1493","5M5|2017","5M5",2017,"KK",16.63,112.24,"Female",5.791780822,NA,6.89655172413793,0.365247085263079,NA,NA,0.002210806,NA,NA,NA,25.22907905,108.3475125
