focalID,dob,isFemale
19A,3/1/1992,1
1C5,10/22/2005,1
1E2,10/17/2006,1
21H,3/28/1997,1
2C4,11/6/2005,1
37V,11/15/2003,1
3A2,12/5/2004,1
44V,2/13/2004,1
49V,11/15/2003,1
4D8,9/29/2006,1
51V,10/29/2003,1
53E,2/12/1996,1
60R,12/3/2001,1
6D4,10/14/2006,1
74T,11/26/2002,1
76J,1/19/1999,1
83Z,12/16/2004,1
93O,12/2/2000,1
0B6,11/29/2004,1
1C7,11/23/2005,1
24V,12/9/2003,1
2C3,11/10/2005,1
55J,11/14/1998,1
62R,1/6/2002,1
6C2,10/6/2005,1
6D6,10/26/2006,1
86Z,10/19/2004,1
9C5,10/14/2006,1
25P,12/8/2000,1
6D9,11/2/2006,1
11Z,11/12/2003,0
16R,12/8/2001,0
27N,1/29/2000,0
46Z,12/28/2004,0
4F1,10/16/2007,1
73Z,10/30/2004,0
94H,1/16/1998,0
97Z,11/1/2004,0
9C8,11/11/2006,0
2D0,10/23/2006,0
2F2,11/19/2007,1
3F5,12/8/2007,1
3G3,9/12/2008,1
56K,1/8/1999,0
64S,10/26/2002,0
6B8,11/16/2005,0
7F0,9/24/2007,1
98Z,11/21/2004,0
99L,11/30/1999,0
0C7,10/25/2005,0
27J,12/28/1997,0
3F7,10/1/2007,1
5H4,9/10/2008,1
9H9,9/13/2008,1
51J,12/24/1998,0
6F1,1/13/2008,0
6A9,12/14/2004,0
60E,2/9/1996,0
0M6,8/9/2011,1
0R2,8/21/2013,0
1L1,9/26/2010,1
1M8,10/4/2011,0
1O9,10/5/2012,1
1P5,8/21/2012,0
2O4,6/26/2012,0
3M3,9/26/2011,0
3R0,8/17/2013,1
4M0,8/22/2011,0
4R4,9/2/2013,1
5J3,10/16/2009,0
5M5,9/1/2011,1
6K6,9/6/2010,1
6L1,9/9/2010,1
6L3,9/27/2010,0
6L4,9/17/2010,0
6M7,8/21/2011,1
7J7,9/19/2009,1
8I9,9/21/2009,1
9I8,9/1/2009,1
0J5,10/17/2009,1
0K8,11/21/2009,1
0Q5,12/29/2012,1
1O7,10/8/2012,1
1P0,10/9/2012,1
2J7,9/7/2009,1
3O3,9/18/2012,0
6O7,10/27/2012,1
7O3,10/9/2012,0
8C9,10/29/2006,0
8L3,9/27/2010,1
8O9,8/14/2012,1
9L9,10/27/2010,1
1S8,8/17/2013,0
1P4,8/13/2012,1
1R7,7/22/2013,0
2M4,10/4/2011,0
2O7,5/31/2012,1
3P5,10/5/2012,0
4M9,9/21/2011,1
4P6,10/8/2012,1
4R3,8/16/2013,0
5P4,11/26/2012,0
7I8,9/3/2009,1
9Q5,8/29/2013,1
1R1,8/5/2013,1
3Q3,8/19/2013,1
4Q4,9/7/2013,1
4R7,9/14/2013,0
5K0,10/26/2010,0
5Q7,8/13/2013,1
7Q3,8/21/2013,1
9N6,10/24/2011,1
2R9,10/9/2013,1
3R9,9/13/2013,1
1S5,8/5/2013,0
2R0,8/12/2013,0
3O7,9/23/2012,0
3Q9,9/2/2013,0
00V,12/14/2003,1
06O,2/5/2000,0
13H,1/17/1997,1
1G6,10/2/2008,1
2E4,10/1/2006,1
2G4,12/3/2008,1
2H6,10/17/2008,0
30J,3/8/1998,1
31I,1/23/1998,0
3H0,11/17/2008,1
45Z,11/12/2004,1
52Z,10/24/2004,1
5C6,11/21/2005,1
5E4,12/2/2007,0
77I,1/13/1998,0
7C4,11/7/2005,1
80T,2/27/2003,0
81O,11/13/2000,0
8D3,11/10/2006,0
90T,11/15/2003,1
98K,3/30/1999,0
15E,1/30/1995,1
0D3,9/23/2006,0
0F0,11/28/2007,1
12O,11/11/1999,0
18I,2/13/1998,0
1A6,10/21/2004,0
1B1,11/7/2004,0
1G0,10/18/2008,1
1G4,9/16/2008,1
2G3,11/4/2008,1
32Z,2/14/2004,0
33T,12/7/2002,0
47Z,10/8/2004,1
4C9,11/20/2005,1
4E2,10/16/2007,0
51A,12/15/1992,0
51Z,11/1/2004,1
5E8,1/15/2008,1
78I,12/15/1997,1
81E,12/3/1995,1
85T,10/31/2003,1
98J,11/30/1998,1
9C1,10/26/2006,1
T03,2/23/1989,1
12E,1/30/1995,0
14E,12/13/1994,1
19T,11/4/2002,0
1B0,11/16/2004,1
1F9,9/12/2007,0
1G1,11/3/2008,1
1G2,10/26/2008,1
1G8,12/9/2008,0
25R,12/9/2001,0
2G2,10/20/2008,1
3D9,1/5/2007,1
40Z,12/7/2003,1
4C3,12/23/2005,0
4D3,9/25/2006,0
53Z,11/1/2004,1
5E6,10/1/2007,0
61D,3/11/1995,0
61R,12/15/2001,0
7F5,11/11/2007,0
93T,11/16/2003,1
9D7,10/15/2006,0
4C5,12/14/2005,1
4G8,10/10/2008,0
73V,11/4/2003,0
8A7,11/8/2004,0
9E8,1/24/2008,1
2C9,10/25/2005,0
0G1,11/17/2007,0
30Z,10/16/2003,0
37N,2/6/2000,0
0E3,10/16/2006,0
8D2,1/25/2007,0
8D8,10/10/2006,0
36S,12/5/2001,0
7A2,10/5/2004,0
04T,11/4/2002,0
0I9,9/23/2009,0
0J4,9/16/2009,0
1K2,10/27/2009,1
3I9,10/16/2009,0
5B0,12/23/2005,0
5I3,10/29/2009,0
5I5,9/20/2009,0
0K0,10/14/2009,1
1I5,9/22/2009,1
1K1,10/7/2009,1
4J4,9/21/2009,1
9I9,10/5/2009,0
1I6,11/9/2009,1
1I7,9/12/2009,1
3I6,10/3/2009,0
3J7,11/6/2009,0
2I3,9/27/2009,1
3B9,10/24/2005,0
2F8,9/28/2007,0
17K,11/20/1998,0
1F2,11/18/2007,0
7G1,9/23/2008,0
28B,1/20/1993,0
8A9,10/6/2004,0
5J1,9/24/2009,0
36V,9/27/2003,0
73S,11/23/2002,0
9E3,11/27/2007,0
3I5,10/3/2009,0
0M1,9/20/2010,0
2K3,9/29/2010,0
2K5,12/4/2010,0
4K7,10/31/2010,0
5K8,10/25/2010,0
5L4,12/9/2010,0
5L7,9/26/2010,1
2K0,11/1/2010,0
2K4,9/28/2010,0
2K6,10/28/2010,0
7K8,9/28/2010,1
8K1,10/2/2010,0
9K9,10/23/2010,0
0L4,10/14/2010,0
3K1,10/14/2010,0
5L8,9/19/2010,1
0M3,10/25/2010,1
0M4,10/10/2010,1
7L8,11/2/2010,0
2K1,12/8/2010,1
5D1,9/24/2006,0
6B2,10/22/2005,0
3E4,12/10/2006,0
4G6,9/18/2008,0
8J3,9/18/2009,0
1D5,10/3/2006,0
07D,1/4/1995,0
0I5,10/8/2008,1
12Z,12/3/2003,0
1H9,11/7/2008,0
20F,2/9/1996,1
24B,1/8/1993,1
28G,1/26/1997,1
28J,3/19/1998,1
29B,1/8/1993,1
2A5,1/1/2005,1
30C,1/21/1994,0
30L,1/4/2000,0
35N,1/1/2000,1
3E2,10/16/2006,1
43F,1/11/1996,1
43P,1/16/2001,0
50I,12/11/1997,1
59A,11/29/1992,1
64P,12/11/2000,1
7D8,9/23/2006,1
82A,1/29/1993,1
82L,2/6/2000,1
8C3,11/17/2006,0
98T,1/12/2004,1
9F5,9/19/2007,0
9H7,10/10/2008,1
00O,12/1/1999,1
04N,3/25/2000,1
0A9,12/29/2004,1
1A3,11/26/2004,1
1C0,11/21/2005,1
29H,1/25/1997,0
29Z,12/15/2003,1
2A7,9/25/2004,1
2A8,10/20/2004,1
32S,11/12/2001,1
3E7,11/10/2006,1
56E,2/4/1996,1
57H,2/22/1997,1
5E1,9/14/2007,0
62H,12/25/1996,1
78T,12/10/2002,1
7B7,11/20/2005,1
7H0,9/2/2008,0
8B0,10/24/2005,1
8F3,11/9/2007,1
91O,12/14/2000,0
9A4,9/27/2004,1
9D1,10/15/2006,0
9D8,10/30/2006,1
9E5,10/16/2007,0
9E6,10/15/2007,0
03J,12/22/1997,1
0B8,11/28/2004,0
0C6,12/20/2005,1
1C2,10/25/2005,0
2A2,11/28/2004,1
2H3,12/1/2008,1
36Z,1/12/2004,1
3C3,10/30/2005,1
40L,12/26/1999,1
42L,12/30/1999,1
44J,11/28/1997,1
4C1,10/25/2005,1
4C2,10/7/2005,1
50S,10/29/2002,1
52P,12/17/2000,1
60T,11/17/2002,0
64D,4/8/1995,1
68V,1/3/2004,1
6C0,2/26/2006,1
72T,12/27/2002,0
79Z,11/21/2004,1
88T,12/4/2003,0
8C0,10/12/2006,0
93Z,12/13/2004,1
9G3,10/12/2008,1
00J,4/13/1998,1
04I,12/9/1997,0
0A4,10/23/2004,1
0G5,10/5/2007,1
34N,12/28/1999,1
42T,12/28/2002,0
43J,1/12/1998,1
55V,12/7/2003,1
5C0,11/7/2005,1
5G9,9/21/2008,1
61J,3/13/1999,1
63V,11/1/2003,1
7C0,11/22/2005,1
7D7,10/25/2006,0
7G2,11/7/2008,0
84J,1/4/1999,0
87K,11/14/1998,1
8E8,10/29/2007,1
96B,1/6/1994,0
9H2,9/24/2008,0
17L,2/28/1999,0
18Z,2/15/2004,0
9C2,10/25/2006,1
57F,1/18/1996,0
92D,12/28/1994,1
1H6,12/4/2008,1
1G9,10/29/2008,0
8C2,11/30/2006,0
6C9,3/1/2006,0
22R,10/27/2001,0
7H9,11/10/2008,0
94Z,11/29/2004,0
5G3,9/10/2008,0
0K2,11/22/2009,1
2I2,10/18/2009,0
3E1,12/1/2006,0
5J4,9/29/2009,0
7I5,10/19/2009,0
8J6,9/26/2009,1
8J8,12/10/2009,1
9I5,11/11/2009,1
1J0,11/30/2009,0
1J7,1/7/2010,1
1J8,10/28/2009,0
2I4,10/26/2009,0
2J2,9/7/2009,1
6I7,10/5/2009,0
0G9,11/9/2008,0
1J2,9/17/2009,0
2J6,9/15/2009,0
0H3,10/6/2008,0
0K7,10/3/2009,1
1K5,10/24/2009,1
2J4,1/9/2010,0
6E6,10/29/2007,0
7J8,9/6/2009,1
0I6,1/5/2009,1
8H0,10/13/2008,0
9I6,11/7/2009,1
2J8,9/18/2009,1
7E1,10/2/2007,0
2I0,9/29/2009,0
30V,10/22/2003,0
5J5,1/10/2010,0
8B5,10/31/2005,0
3J2,10/20/2009,0
6I9,9/27/2009,0
6J2,9/10/2009,0
5G7,10/15/2008,0
04Z,2/10/2004,0
1L5,10/24/2010,1
2L5,9/19/2010,1
2L8,11/16/2010,1
3L3,9/12/2010,0
4K3,9/26/2010,0
5K1,9/29/2010,1
5K7,10/4/2010,1
1L4,12/3/2010,1
3L1,10/2/2010,0
7J6,10/2/2009,0
9I0,12/8/2009,0
5K3,9/10/2010,1
0L1,9/28/2010,0
03Z,1/13/2004,1
0B9,11/2/2004,1
0G3,10/27/2007,1
13I,3/23/1998,0
16S,11/6/2001,1
1B7,11/9/2005,0
21N,12/27/1999,1
22H,12/4/1996,1
2E9,9/28/2006,1
39Z,10/26/2003,1
43N,11/11/1999,0
56R,12/4/2001,1
62S,1/7/2003,1
65Z,10/17/2004,1
73C,4/5/1994,1
76Z,11/14/2004,0
77S,1/18/2003,1
7E0,10/6/2007,1
80S,11/12/2002,1
8E2,10/9/2007,1
94O,12/18/2000,0
97V,11/18/2003,0
V80,1/13/1991,1
20S,11/29/2001,1
2C0,12/22/2005,1
2C7,9/26/2005,1
2D5,10/27/2006,0
2E8,10/8/2006,1
36O,12/8/2000,1
3A9,11/21/2004,1
48V,12/2/2003,1
55R,11/8/2001,1
5B4,10/18/2005,1
6B4,10/11/2005,1
7E3,10/9/2007,1
94S,11/17/2002,1
9C6,10/12/2006,0
5B6,10/10/2005,1
41N,2/4/2000,0
50P,3/20/2001,0
4C6,1/26/2006,0
49L,12/13/1999,0
49Z,11/22/2004,0
8L6,10/5/2010,0
9P6,9/16/2012,0
3A6,11/7/2004,0
3L5,12/4/2010,0
4J0,9/2/2009,0
9I7,11/18/2009,1
0M2,9/12/2010,1
1Q8,8/19/2012,0
3P7,8/15/2012,1
4N7,9/9/2011,0
5H7,10/5/2008,0
5J6,11/2/2009,1
7L7,10/27/2010,1
9N0,9/4/2011,1
9P5,8/6/2012,1
0K1,10/11/2009,0
4J6,9/23/2009,1
7L0,9/1/2010,1
3L6,10/8/2010,0
3N4,10/11/2011,1
4N8,8/13/2011,0
6H6,11/29/2008,1
4I9,10/12/2009,1
5N1,9/24/2011,1
8K7,10/5/2010,1
4J3,9/2/2009,1
5I9,10/26/2009,1
6I4,10/1/2009,0
9O0,10/21/2012,0
3P2,10/10/2012,0
4N5,9/14/2011,1
4L8,9/12/2010,1
5P6,10/11/2012,1
26P,12/3/2000,0
48L,12/22/1999,0
4A9,12/31/2004,1
53N,11/26/1999,0
57T,11/5/2002,1
70T,12/8/2002,1
81I,12/25/1997,1
88N,2/25/2000,1
Z82,12/4/1991,1
30F,12/10/1995,1
38Z,10/18/2003,1
5A0,11/30/2004,1
74K,12/26/1998,1
82V,10/30/2003,1
9A1,1/11/2005,0
T83,2/16/1990,1
T84,2/20/1990,1
03N,11/26/1999,0
36D,1/22/1995,1
5A1,11/21/2004,1
98V,11/1/2003,1
82Z,12/9/2004,1
88V,12/7/2003,0
97R,1/4/2002,1
7A9,11/20/2004,1
05Z,12/6/2003,0
9F9,11/7/2007,0
7D2,10/15/2006,0
31S,12/5/2001,0
5L3,9/24/2010,0
0L5,10/13/2010,0
46N,11/12/1999,0
8H2,9/22/2008,0
8B3,10/26/2005,0
4L7,10/15/2010,0
7K4,11/29/2010,0
9K4,9/24/2010,0
48J,1/22/1998,1
96Z,11/20/2004,0
9M5,9/22/2011,0
2N4,8/17/2011,0
OI6,1/5/2009,1
6M5,8/17/2011,0
7J5,9/17/2009,0
9N1,8/16/2011,1
9N7,11/25/2011,1
90P,11/12/2001,1
8H1,9/30/2008,1
OK7,10/3/2009,1
5D9,10/24/2006,1
8N4,8/11/2011,1
8K9,10/18/2010,0
1N3,9/22/2011,0
8N5,8/17/2011,0
8J0,9/23/2009,1
8N1,10/4/2011,1
9N3,9/3/2011,1
8N6,8/22/2011,1
9M6,9/22/2011,1
34Z,2/27/2004,1
2N6,9/9/2011,1
4M3,8/20/2011,0
8N7,9/8/2011,1
4K2,10/16/2010,0
4M1,9/20/2011,0
6C5,12/31/2005,1
6K1,10/28/2010,1
6N4,9/18/2011,1
6N6,8/13/2011,1
2E1,9/18/2006,1
5K9,11/4/2010,1
1E0,11/6/2006,1
1N9,9/14/2011,1
9N4,8/22/2011,1
89K,1/19/1999,1
7N7,9/5/2011,1
2N0,8/18/2011,0
2N8,9/28/2011,0
1M6,10/17/2011,0
5N5,9/15/2011,0
6K5,12/17/2010,0
8N3,10/24/2011,1
93R,10/23/2001,0
0H8,1/31/2009,0
0G8,9/30/2007,0
9M8,9/12/2011,1
7M8,10/21/2011,0
3M2,8/11/2011,0
0M8,8/22/2011,0
1E5,10/29/2006,0
3HO,11/17/2008,1
3I2,11/1/2009,0
0L9,10/9/2010,1
6OE,2/9/1996,0
5J7,11/4/2009,0
6A5,11/9/2004,0
1GO,10/18/2008,1
